72184-1-entrytone|ᎠᏧᏣ|Achű:ja.|Boy
72862-1-entrytone|ᏗᏢᏈᏍᏙᏗ|Di:dlv:kwísdohdi.|Excuse
72863-1-entrytone|ᏗᎦᏛᏗ|Digadv́:di.|1 pear  2. scales (weighing)
72864-1-entrytone|ᏗᎦᎳᏫᏍᏗᎢ|Digalà:wisdi̋:ɂi.|Church
72864-2-entrytone|ᏧᏂᎳᏫᏍᏗᎢ|Ju:ni:là:wisdi̋:ɂi.|Church
72865-1-entrytone|ᏗᎦᎴᏅᎯᏓ|Digaɂlě:nv́:hi̋:da.|Long-eared
72865-1-nounadjpluraltone|ᏗᏂᎴᏅᎯᏓ|Di:ni:lě:nv́:hi̋:da.|Long-eared (plural)
72866-1-entrytone|ᏗᎦᎶᎩᏍᎩ|Digalo:gi̋:sgi.|Farmer
72866-1-nounadjpluraltone|ᏗᏂᎶᎩᏍᎩ|Di:ni:lo:gi̋:sgi.|Farmer (plural)
72867-1-entrytone|ᏗᎦᎸᏅᎯ|Digalv̀:nv:hi.|Dumplings
72868-1-entrytone|ᏗᎦᏃᏣᎸᏗ|Diganǒ:jahldi.|Announcement
72869-1-entrytone|ᏗᎦᎾᏐᏗᎢ|Digansò:di̋:ɂi.|Pantry
72870-1-entrytone|ᏗᎦᏄᎳᏥ|Diganu:laji.|His ribs
72871-1-entrytone|ᏗᎦᏘᏗᎢ|Digà:tdi̋:ɂi.|Oven
72872-1-entrytone|ᏗᎦᏘᏍᏗ|Diga:tísdi.|Gig
72873-1-entrytone|ᏗᎪᏪᎵ|Digo:hwe:li.|1. papers  2. book
72874-1-entrytone|ᏗᎪᏪᎶᏗ|Digo:hwě:lò:di.|Pencil
72875-1-entrytone|ᏗᎪᏏᏐᏗ|Digò:sǐ:sóhdi.|Discussion (biblical)
72876-1-entrytone|ᏗᎫᎵᏗᏍᎩ|Dìgùhldǐ:sgi.|Mud dauber
72876-1-nounadjpluraltone|ᏗᏄᎵᏗᏍᎩ|Di:nuhldǐ:sgi.|Mud dauber (plural)
72877-1-entrytone|ᏗᎫᎪᏗᏍᎩ|Digu:kdi̋:sgi.|Judge
72877-1-nounadjpluraltone|ᏗᏄᎪᏗᏍᎩ|Di:nu:kdi̋:sgi.|Judge (plural)
72878-1-entrytone|ᏗᎯᎯ|Dí:hihi.|One that kills
72878-1-nounadjpluraltone|ᏗᏂᎯᎯ|Di:ní:hihi.|One that kills (plural)
72879-1-entrytone|ᏗᏟᏃᎮᏗᎢ|Di:hlino:hehdi̋:ɂi.|Telephone
72879-2-entrytone|ᏧᎾᏟᏃᎮᏗᎢ|Ju:nahlinohhe:di̋:ɂi.|Telephone
72880-1-entrytone|ᏗᎵᏔᏕᎩ|Dihltade̋:gi.|Jumper
72880-1-nounadjpluraltone|ᏗᎾᎵᏔᏕᎩ|Di:nahltade̋:gi.|Jumper (plural)
72881-1-entrytone|ᏗᎿᏬ|Di:hnawo.|Clothing, clothes
72882-1-entrytone|ᏗᎿᏬᏍᏙᏗ|Di:hnawó:sdohdi.|Covers (bed)
72883-1-entrytone|ᏗᏁᎯᎯ|Dì:hně:hihi.|Wrestler
72883-1-nounadjpluraltone|ᏗᎾᏁᎯᎯ|Di:na:hnè:hihi.|Wrestler (plural)
72884-1-entrytone|ᏗᏁᏍᎨᏍᎩ|Di:hnè:sge̋:sgi.|Carpenter
72884-1-nounadjpluraltone|ᏗᎾᏁᏍᎨᏍᎩ|Di:na:hnè:sge̋:sgi.|Carpenter (plural)
72885-1-entrytone|ᏗᏴᎩᏍᏗ|Di:hyv̌:gì:sdi.|Spurs
72887-1-entrytone|ᏗᏣᎳᎩ|Di:jalagi.|Cherokee (written)
72888-1-entrytone|ᏗᎧᎸᎬᎢ|Dikalv̌:gv̋:ɂi.|East
72889-1-entrytone|ᏗᎧᏃᎩᏍᏗ|Dikano:gi̋:sdi.|1. song book  2. musical instrument
72890-1-entrytone|ᏗᎧᏃᏩᏗᏙᎯ|Di:kano:wadi:dő:hi.|Angel
72890-1-nounadjpluraltone|ᏗᏂᎧᏃᏩᏗᏙᎯ|Di:ni:kano:wadi:dő:hi.|Angel (plural)
72891-1-entrytone|ᏗᎧᏃᏩᏛᏍᏗ|Di:kano:wadv́:sdi.|Law
72892-1-entrytone|ᏗᎬᏜᏗᏍᎩ|Dikdladì:sgi.|1. fireman  2. firetruck
72892-1-nounadjpluraltone|ᏗᏅᏜᏗᏍᎩ|Díhndladì:sgi.|1. fireman  2. firetruck (plural)
72893-1-entrytone|ᏗᎬᏢᏗ|Dikdlv́hdi.|Sharpener
72894-1-entrytone|ᏗᎨᏫ|Di:ke̋:wi.|Blind
72894-1-nounadjpluraltone|ᏗᏂᎨᏫ|Di:ni:ke̋:wi.|Blind (plural)
72895-1-entrytone|ᏗᎦᏘᏅᏘᏗ|Di:ktinv̋:tdi.|Eyeglasses
72896-1-entrytone|ᏗᎦᏙᏗ|Díktohdi.|Binoculars
72897-1-entrytone|ᏗᏆᎾᏲᏍᏗ|Di:kwanayǒ:sdi.|Playing cards
72898-1-entrytone|ᏗᏆᏲᏗ|Di:kwayő:di.|Pepper
72899-1-entrytone|ᏗᎵᏍᏙᏰᏗ|Dilsdoyhdi.|Scissors
72901-1-entrytone|ᏗᎾᏓᏅᏟ|Di:nada:hnv̋:hli.|1. brothers (dl.excl.) 2. his brother
72902-1-entrytone|ᏗᏁᎵᏙᏗ|Dì:néhldohdi.|Toy
72903-1-entrytone|ᏗᏂᏓᎿᏫ|Di:ni:dá:hnawi.|1. enemies  2. his enemy
72904-1-entrytone|ᏗᏎᎯᏍᏗᎢ|Dì:sě:hísdi̋:i.|Dresser
72905-1-entrytone|ᏗᏎᏍᏗ|Di:sésdi.|Numbers
72906-1-entrytone|ᏗᏑᏫᏍᏗ|Di:sǔ:hwísdi.|Paint
72907-1-entrytone|ᏗᏔᎴᏍᏗ|Di:talě:sdi.|Drill
72908-1-entrytone|ᏗᏖᏍᏗ|Di:tě:sdi.|Iron
72909-1-entrytone|ᏗᏘᏲᎯᎯ|Di:tiyǒ:hihi.|Lawyer
72909-1-nounadjpluraltone|ᏗᎾᏘᏲᎯᎯ|Di:natiyǒ:hihi.|Lawyer (plural)
72910-1-entrytone|ᏜᎢᏓ|Dlà:ɂida.|Poke (greens)
72911-1-entrytone|ᏜᎺᎭ|Dla:me:ha.|Bat
72912-1-entrytone|ᏜᏄᏏ|Dla:nú:si.|Leech
72913-1-entrytone|ᏜᏱᎦ|Dlàyhga.|Bluejay
72914-1-entrytone|ᏜᏱᎬᎢ|Dlàyhgv̋:ɂi.|Jay
72915-1-entrytone|ᏠᎨᏏ|Dlo:ge̋:si.|1. garden, field  2. meadow, pasture
72916-1-entrytone|ᏡᏡ|Dlù:dlu.|Purple martin
72917-1-entrytone|Ꮲ|Dlv.|Approximately
72918-1-entrytone|Ꮲ|Dlv.|Somewhere
72918-2-entrytone|ᎢᎸᏢᎢ|Ilvhdlv̋:ɂi.|Somewhere
72920-1-entrytone|ᏙᏓᏆᏍᎬᎢ|Dǒ:dágwà:sgv̋:ɂi.|Sunday
72921-1-entrytone|ᏙᏓᏈᏕᎾ|Dǒ:dágwi:de̋:na.|Saturday
72922-1-entrytone|ᏙᏓᏉᏅᎢ|Dǒ:dágwohnvɂi.|Monday
72924-1-entrytone|ᏙᎯᏳ|Do:hiyu.|Really, very
72925-1-entrytone|ᏙᏌ|Do:sa.|Mosquito
72926-1-entrytone|ᏙᏒᏓᎵ|Do:sv̌:dáɂli.|Ant
72927-1-entrytone|ᏙᏱ|Dǒ:yi.|Outside
72928-1-entrytone|ᏙᏳ|Do:yű.|Really, very
72929-1-entrytone|ᏚᏓᏘᎿᎥᎢ|Dù:da:tihnaɂv̋:ɂi.|His family
72930-1-entrytone|ᏚᏠᏍᎦ|Dù:dlo:sga.|He is confronted with it
72930-1-vfirstprestone|ᏓᏆᏠᏍᎦ|Dà:gwadlo:sga.|I am confronted with it (I am...)
72930-1-vsecondimpertone|ᏗᏣᏠᎯ|Dijádló:hi.|Let you be confronted with it (Let you...)
72930-1-vthirdinftone|ᏧᏠᎯᏍᏗ|Ju:dlo:hisdi.|For him to be confronted with it (For him to...)
72930-1-vthirdpasttone|ᏚᏠᏒᎢ|Dù:dlo:sv̌:ɂi.|A while ago he did confronted with it (He did...a while ago)
72930-1-vthirdprestone|ᏚᏠᏍᎪᎢ|Dù:dlo:sgó:ɂi.|He is usually confronted with it (He usually...)
72931-1-entrytone|ᏚᏙᎠ|Dù:do:ɂa.|He is called, he is named
72931-1-vfirstprestone|ᏓᏆᏙᎠ|Dà:gwadó:ɂa.|I am called, I am named (I am...)
72931-1-vsecondimpertone|ᏕᏣᏙᎡᏍᏗ|Dě:jádo:ɂé:sdi.|Let you be called, Let you be named (Let you...)
72931-1-vthirdinftone|ᏧᏙᏍᏗ|Ju:dò:sdi.|For him to be called, For him to be named (For him to...)
72931-1-vthirdpasttone|ᏚᏙᎥᎢ|Dù:dó:ɂv̌:ɂi.|A while ago he did called, A while ago he did named (He did...a while ago)
72931-1-vthirdprestone|ᏚᏙᎣᎢ|Dù:dó:ɂó:ɂi.|He is usually called, he is usually named (He usually...)
72932-1-entrytone|ᏚᏙᎦᏗᎭ|Dù:dô:kdíha.|He is staggering
72932-1-vfirstprestone|ᏓᏆᏙᎦᏗᎭ|Dà:gwadô:kdíha.|I am staggering (I am...)
72932-1-vsecondimpertone|ᏗᏣᏙᎦᏓ|Dijádô:kda.|Let you be staggering (Let you...)
72932-1-vthirdinftone|ᏧᏙᎦᏙᏗ|Ju:dò:kdóhdi.|For him to be staggering (For him to...)
72932-1-vthirdpasttone|ᏚᏙᎦᏔᏅᎢ|Dù:dô:ktanv́:ɂi.|He did stagger (He did...a while ago)
72932-1-vthirdprestone|ᏚᏙᎦᏗᏍᎪᎢ|Dù:dô:kdǐ:sgóɂi.|He is usually staggering (He usually...)
72933-1-entrytone|ᏚᏇᏃᏘᏍᎦ|Dù:gwe:nó:tisga.|He is getting a rash
72933-1-vfirstprestone|ᏓᎩᏇᏃᏘᏍᎦ|Dà:gigwe:nó:tisga.|I am getting a rash (I am...)
72933-1-vsecondimpertone|ᏗᏣᏇᏃᏘᎯ|Dijágwé:nò:tihi.|Let you be getting a rash (Let you...)
72933-1-vthirdinftone|ᏧᏇᏃᏘᏍᏗ|Ju:gwe:nò:tísdi.|For him to be getting a rash (For him to...)
72933-1-vthirdpasttone|ᏚᏇᏃᏘᏒᎢ|Dù:gwe:nó:tisv̌:ɂi.|He did gett a rash (He did...a while ago)
72933-1-vthirdprestone|ᏚᏇᏃᏘᏍᎪᎢ|Dù:gwe:nó:tisgó:ɂi.|He is usually getting a rash (He usually...)
72934-1-entrytone|ᏚᎷᎦ|Dùhlga.|He has horns
72934-1-vfirstprestone|ᏓᎩᎷᎦ|Dà:gihlga.|I have horns (I am...)
72934-1-vsecondimpertone|ᏕᏣᎷᎨᏍᏗ|De:jáhlgé:sdi.|Let you have horns (Let you...)
72934-1-vthirdpasttone|ᏚᎷᎬᎢ|Dùhlgv̌:ɂi.|A while ago he had horns (He did...a while ago)
72934-1-vthirdprestone|ᏚᎷᎪᎢ|Dùhlgó:ɂi.|He usually has horns (He usually...)
72935-1-entrytone|ᏚᏴᏍᏙᏯᏍᎦ|Dù:hyv̌:sdôysga.|He is sneezing
72935-1-vfirstprestone|ᏓᎩᏴᏍᏙᏯᏍᎦ|Dà:kiyv̌:sdôysga.|I am sneezing (I am...)
72935-1-vsecondimpertone|ᏗᏣᏴᏍᏙᏯ|Dicháyv́:sdò:hya.|Let you be sneezing (Let you...)
72935-1-vthirdinftone|ᏧᏴᏍᏙᏯᏍᏗ|Ju:hyv̌:sdô:ysdi.|For him to be sneezing (For him to...)
72935-1-vthirdpasttone|ᏚᏴᏍᏙᏴᎢ|Dù:hyv̌:sdô:hyv̌:ɂi.|He did sneez (He did...a while ago)
72935-1-vthirdprestone|ᏚᏴᏍᏙᏯᏍᎪᎢ|Dù:hyv̌:sdôysgó:ɂi.|He is usually sneezing (He usually...)
72936-1-entrytone|ᏚᎦᏍᏗᎭ|Dù:ksdiha.|He is vomiting
72936-1-vfirstprestone|ᏓᎩᎦᏍᏗᎭ|Dà:giksdíha.|I am vomiting (I am...)
72936-1-vsecondimpertone|ᏗᏣᎦᏍᏓ|Dijáksda.|Let you be vomiting (Let you...)
72936-1-vthirdinftone|ᏧᎦᏍᏙᏗ|Ju:ksdóhdi.|For him to be vomiting (For him to...)
72936-1-vthirdpasttone|ᏚᎦᏍᏔᏅᎢ|Dù:kstanv́:ɂi.|He did vomit (He did...a while ago)
72936-1-vthirdprestone|ᏚᎦᏍᏗᏍᎪᎢ|Dù:ksdǐ:sgóɂi.|He is usually vomiting (He usually...)
72937-1-entrytone|ᏚᎦᏘᏅᏔ|Du:ktinv:ta.|He is wearing glasses
72937-1-vfirstprestone|ᏓᏆᎦᏘᏅᏔ|Dà:gwaktinv:ta.|I am wearing glasses (I am...)
72937-1-vsecondimpertone|ᏕᏣᎦᏘᏅᏖᏍᏗ|De:jáktinv:té:sdi.|Let you be wearing glasses (Let you...)
72937-1-vthirdinftone|ᏧᎦᏘᏅᏘᏗ|Ju:ktinv:tdi.|For him to be wearing glasses (For him to...)
72937-1-vthirdpasttone|ᏚᎦᏘᏅᏛᎢ|Dù:ktinv:tv̌:ɂi.|He did wear glasses (He did...a while ago)
72937-1-vthirdprestone|ᏚᎦᏘᏅᏙᎢ|Dù:ktinv:tó:ɂi.|He is usually wearing glasses (He usually...)
72938-1-entrytone|ᏚᎳᏑᏝ|Dù:lâ:su:hla.|He is wearing shoes
72938-1-vfirstprestone|ᏓᏆᎳᏑᏝ|Dà:gwalâ:su:hla.|I am wearing shoes (I am...)
72938-1-vsecondimpertone|ᏕᏣᎳᏑᏞᏍᏗ|De:jalâ:su:hlé:sdi.|Let you be wearing shoes (Let you...)
72938-1-vthirdpasttone|ᏚᎳᏑᏢᎢ|Dù:lâ:su:hlvɂi.|He did wear shoes (He did...a while ago)
72938-1-vthirdprestone|ᏚᎳᏑᏠᎢ|Dù:lâ:su:hló:ɂi.|He is usually wearing shoes (He usually...)
72939-1-entrytone|ᏚᎵᏍᏗ|Du:lì:sdi.|September
72940-1-entrytone|ᏚᎵᏰᏑᎳ|Dù:liyê:su:la.|He is wearing gloves
72940-1-vfirstprestone|ᏓᏆᎵᏰᏑᎳ|Dà:gwaliyê:su:la.|I am wearing gloves (I am...)
72940-1-vsecondimpertone|ᏔᎵᏰᏑᎸᎦ|Talíyè:su:lv̂:ga.|Let you be wearing gloves (Let you...)
72940-1-vthirdinftone|ᏧᎵᏰᏑᎶᏗ|Ju:liyè:sǔ:lô:di.|For him to be wearing gloves (For him to...)
72940-1-vthirdpasttone|ᏚᎵᏰᏑᎸᎢ|Dù:liyê:su:lv̌:ɂi.|He did wear gloves (He did...a while ago)
72940-1-vthirdprestone|ᏚᎵᏰᏑᎶᎢ|Dù:liyê:su:ló:ɂi.|He is usually wearing gloves (He usually...)
72941-1-entrytone|ᏚᎵᏲᎭ|Dù:lǐ:yó:ha.|He is wearing socks
72941-1-vfirstprestone|ᏓᏆᎵᏲᎭ|Dà:gwa:lǐ:yó:ha.|I am wearing socks (I am...)
72941-1-vsecondimpertone|ᏕᏣᎵᏲᎮᏍᏗ|De:já:lǐ:yó:hé:sdi.|Let you be wearing socks (Let you...)
72941-1-vthirdpasttone|ᏚᎵᏲᎲᎢ|Dù:lǐ:yó:hv̌:ɂi.|He did wear socks (He did...a while ago)
72941-1-vthirdprestone|ᏚᎵᏲᎰᎢ|Dù:lǐ:yó:hó:ɂi.|He is usually wearing socks (He usually...)
72942-1-entrytone|ᏚᎶᏥᎬᎢ|Dù:ló:tsgv̋:ɂi.|Fork (in a tree)
72943-1-entrytone|ᏚᎸᏫᏍᏓᏁᎭ|Dù:lv̌:hwísdà:neha.|He is working
72943-1-vfirstprestone|ᏓᎩᎸᏫᏍᏓᏁᎭ|Dà:gilv̌:hwísdà:neha.|I am working (I am...)
72943-1-vsecondimpertone|ᏗᏣᎸᏫᏍᏓᏏ|Di:jálv́:hwi:sdà:si.|Let you be working (Let you...)
72943-1-vthirdinftone|ᏧᎸᏫᏍᏓᏁᏗ|Ju:lv̌:hwísdà:nehdi.|For him to be working (For him to...)
72943-1-vthirdpasttone|ᏚᎸᏫᏍᏓᏁᎸᎢ|Dù:lv̌:hwísdà:ne:lv̌:ɂi.|He did work (He did...a while ago)
72943-1-vthirdprestone|ᏚᎸᏫᏍᏓᏁᎰᎢ|Dù:lv̌:hwísdà:ne:hó:ɂi.|He is usually working (He usually...)
72944-1-entrytone|ᏚᏂᏂᏗ|Dù:ninhdi.|October
72945-1-entrytone|ᏚᏍᏓᏃᏴᎦ|Dú:sdano:hyvhga.|He is making footsteps
72945-1-vfirstprestone|ᏓᏆᏍᏓᏃᏴᎦ|Dà:gwá:sdano:hyv́hga.|I am making footsteps (I am...)
72945-1-vsecondimpertone|ᏗᏣᏍᏓᏃᏴᎳ|Dijá:sdano:hyv̌:la.|Let you be making footsteps (Let you...)
72945-1-vthirdinftone|ᏧᏍᏓᏃᏴᏟᏍᏗ|Jù:sdano:hyv:hlisdi.|For him to be making footsteps (For him to...)
72945-1-vthirdpasttone|ᏚᏍᏓᏃᏴᎬᎢ|Dú:sdano:hyvhgv̌:ɂi.|He did mak footsteps (He did...a while ago)
72945-1-vthirdprestone|ᏚᏍᏓᏃᏴᎪᎢ|Dú:sdano:hyvhgó:ɂi.|He is usually making footsteps (He usually...)
72946-1-entrytone|ᏚᏍᎦᎴᏍᏗᎭ|Dú:sgalé:sdiha.|He is releasing it, (involuntarily)
72946-1-vfirstprestone|ᏓᏆᏍᎦᎴᏍᏗᎭ|Dà:gwá:sgalé:sdiha.|I am releasing it, (involuntarily) (I am...)
72946-1-vsecondimpertone|ᏗᏣᏍᎦᎴᏍᏓ|Dijá:sgalé:sda.|Let you be releasing it, (involuntarily) (Let you...)
72946-1-vthirdinftone|ᏧᏍᎦᎴᏍᏙᏗ|Jù:sgalè:sdóhdi.|For him to be releasing it, (involuntarily) (For him to...)
72946-1-vthirdpasttone|ᏚᏍᎦᎴᏍᏔᏅᎢ|Dú:sgalé:stanv̌:ɂi.|He did releas it, (involuntarily) (He did...a while ago)
72946-1-vthirdprestone|ᏚᏍᎦᎴᏍᏗᏍᎪᎢ|Dú:sgalé:sdi:sgó:ɂi.|He is usually releasing it, (involuntarily) (He usually...)
72947-1-entrytone|ᏚᏯᏪᎦ|Dù:yawé:ga.|He is tired
72947-1-vfirstprestone|ᏓᎩᏯᏪᎦ|Dà:gi:yawé:ga.|I am tired (I am...)
72947-1-vsecondimpertone|ᏗᏣᏯᏪᎩ|Dijáyáwè:gi.|Let you be tired (Let you...)
72947-1-vthirdinftone|ᏧᏯᏪᏍᏗ|Ju:yawè:sdi.|For him to be tired (For him to...)
72947-1-vthirdpasttone|ᏚᏯᏪᏨᎢ|Dù:yawé:jv̌:ɂi.|A while ago he did tired (He did...a while ago)
72947-1-vthirdprestone|ᏚᏯᏪᎪᎢ|Dù:yawé:gó:ɂi.|He is usually tired (He usually...)
72948-1-entrytone|ᏚᏲᏍᎦ|Dù:yósga.|He is releasing it, (voluntarily)
72948-1-vfirstprestone|ᏓᎩᏲᏍᎦ|Dà:gíyosga.|I am releasing it, (voluntarily) (I am...)
72948-1-vsecondimpertone|ᏗᏣᏲᎯ|Dijáyohi.|Let you be releasing it, (voluntarily) (Let you...)
72948-1-vthirdinftone|ᏧᏲᎯᏍᏗ|Ju:yóhísdi.|For him to be releasing it, (voluntarily) (For him to...)
72948-1-vthirdpasttone|ᏚᏲᏒᎢ|Dù:yósv̌:ɂi.|He did releas it, (voluntarily) (He did...a while ago)
72948-1-vthirdprestone|ᏚᏲᏍᎪᎢ|Dù:yósgó:ɂi.|He is usually releasing it, (voluntarily) (He usually...)
72949-1-entrytone|ᏚᏳᎪᏛᎢ|Dù:yu:kdv̋:ɂi.|The truth
72955-1-entrytone|ᎡᏙᎭ|E:dó:ha.|1. he is walking around., 2. he is here
72955-1-vfirstprestone|ᎨᏙᎠ|Gě:dô:a.|1. I am walking around., 2. I am here (I am...)
72955-1-vsecondimpertone|ᎮᏓ|Hě:da.|1. Let you be walking around., 2. Let you be here (Let you...)
72955-1-vthirdinftone|ᎤᏪᏓᏍᏗ|Uwe:dà:sdi.|1. For him to be walking around., 2. For him to be here (For him to...)
72955-1-vthirdpasttone|ᎤᏪᏙᎸᎢ|Ù:wě:dô:lv̌:ɂi.|1. He did walk around., 2. A while ago he did here (He did...a while ago)
72955-1-vthirdprestone|ᎡᏙᎰᎢ|È:dó:hó:ɂi.|1. he is usually walking around., 2. he is usually here (He usually...)
72956-1-entrytone|ᎡᎦ|É:ga.|He is going
72956-1-vfirstprestone|ᎨᎦ|Gé:ga.|I am going (I am...)
72956-1-vsecondimpertone|ᎮᎾ|Hè:na.|Let you be going (Let you...)
72956-1-vthirdinftone|ᎤᏪᏅᏍᏗ|Uwe:nv̀:sdi.|For him to be going (For him to...)
72956-1-vthirdpasttone|ᎤᏪᏅᏒᎢ|Ù:we:nv́:sv̌:ɂi.|He did go (He did...a while ago)
72956-1-vthirdprestone|ᎡᎪᎢ|É:gó:ɂi.|He is usually going (He usually...)
72957-1-entrytone|ᎡᏆ|E̋:gwa.|Huge, large
72957-1-nounadjpluraltone|ᏣᏁᏆ|Jane̋:gwa.|Huge, large (plural)
72957-2-nounadjpluraltone|ᏤᏆ|Je̋:gwa.|Huge, large (plural)
72958-1-entrytone|ᎡᏉᏂ|E:gwǒ:ni.|Sea
72959-1-entrytone|ᎡᎭ|Ě:ha.|He lives
72959-1-vfirstprestone|ᎨᎠ|Gé:ɂa.|He lives (I am...)
72959-1-vsecondimpertone|ᎮᎮᏍᏗ|He:hé:sdi.|He lives (Let you...)
72959-1-vthirdprestone|ᎡᎰᎢ|È:hó:ɂi.|He lives (He usually...)
72960-1-entrytone|ᎡᎯ|E̋:hi.|Resident, dweller
72960-1-nounadjpluraltone|ᎠᏁᎯ|Ane̋:hi.|Resident, dweller (plural)
72961-1-entrytone|ᎡᎯᏯᎢ|E:hi:ya̋:ɂi.|Indigenous
72961-1-nounadjpluraltone|ᎠᏁᎯᏯᎢ|Ane:hi:ya̋:ɂi.|Indigenous (plural)
72962-1-entrytone|ᎡᏝᏪᎢ|E:hlawe̋:ɂi.|Quiet
72963-1-entrytone|ᎡᎿᎢ|É:hnai.|Animals (non-domesticated)
72965-1-entrytone|ᎡᎳᏗ|E:ladi.|1. down, 2. on foot
72966-1-entrytone|ᎡᎵᎠ|È:lía.|He thinks so
72966-1-vfirstprestone|ᎨᎵᎠ|Ge:líɂa.|He thinks so (I am...)
72966-1-vsecondimpertone|ᎮᎳ|Hě:la.|He thinks so (Let you...)
72966-1-vthirdinftone|ᎤᏪᎵᏍᏗ|Uwe:lì:sdi.|He thinks so (For him to...)
72966-1-vthirdpasttone|ᎤᏪᎵᏒᎢ|Ù:we:lî:sv̌:ɂi.|He thinks so (He did...a while ago)
72966-1-vthirdprestone|ᎡᎵᏍᎪᎢ|È:lî:sgó:ɂi.|He thinks so (He usually...)
72967-1-entrytone|ᎡᎵᏊ|E:li̋:gwu.|Enough, it is enough
72968-1-entrytone|ᎡᎵᏊ|E:li̋:gwu.|It is possible
72969-1-entrytone|ᎡᎵᏍᏗ|E̋:lì:sdi.|It seems that
72976-1-entrytone|ᎦᏥᏃᏍᏓ|Ga:chinő:sda.|Straight
72976-1-nounadjpluraltone|ᏗᎦᏥᏃᏍᏓ|Diga:chinő:sda.|Straight (plural)
72977-1-entrytone|ᎦᏥᏃᏏᎭ|Ga:chino:síha.|He is straightening it
72977-1-vfirstprestone|ᏥᏥᏃᏏᎭ|Jì:chino:síha.|I am straightening it (I am...)
72977-1-vsecondimpertone|ᎯᏥᏃᏌ|Hi:chinǒ:sa.|Let you be straightening it (Let you...)
72977-1-vthirdinftone|ᎤᏩᏥᏃᏐᏗ|Uwa:chino:sohdi.|For him to be straightening it (For him to...)
72977-1-vthirdpasttone|ᎤᏩᏥᏃᏌᏅᎢ|Ù:wa:chino:sahnv̌:ɂi.|He did straighten it (He did...a while ago)
72977-1-vthirdprestone|ᎦᏥᏃᏏᏍᎪᎢ|Ga:chino:sǐsgóɂi.|He is usually straightening it (He usually...)
72979-1-entrytone|ᎦᏓ|Gǎ:da.|1. soil  2. land
72980-1-entrytone|ᎦᏓᎠ|Gadáɂa.|It (flexible object) is hanging
72980-1-vfirstprestone|ᎦᏓᎠ|Gadáɂa.|It (flexible object) is hanging (I am...)
72980-1-vsecondimpertone|ᎭᏓᎡᏍᏗ|Hadáɂe:sdi.|It (flexible object) is hanging (Let you...)
72980-1-vthirdprestone|ᎦᏓᎣᎢ|Gadáɂó:ɂi.|It (flexible object) is hanging (He usually...)
72981-1-entrytone|ᎦᏓᏗ|Gà:dáɂdi.|Flag
72981-1-nounadjpluraltone|ᏗᎦᏓᏗ|Digà:dáɂdi.|Flag (plural)
72982-1-entrytone|ᎦᏓᎫᎫ|Gǎ:dágù:gu.|Crock
72983-1-entrytone|ᎦᏓᏆᎳ|Ga:dagwála.|Clay
72984-1-entrytone|ᎦᏓᎭᎢ|Ga:da:ha̋:ɂi.|Dirty
72984-1-nounadjpluraltone|ᏗᎦᏓᎭᎢ|Diga:da:ha̋:ɂi.|Dirty (plural)
72985-1-entrytone|ᎦᏓᎷᎩᎠ|Ga:dalǔ:gíɂa.|He is plowing it
72985-1-vfirstprestone|ᏥᏓᎷᎩᎠ|Ji:dalǔ:gíɂa.|I am plowing it (I am...)
72985-1-vsecondimpertone|ᎯᏓᎷᎬᎦ|Hi:dalu:gv̀:ga.|Let you be plowing it (Let you...)
72985-1-vthirdinftone|ᎤᏩᏓᎷᎪᏗ|Uwa:dalǔ:gô:di.|For him to be plowing it (For him to...)
72985-1-vthirdpasttone|ᎤᏩᏓᎷᎦᏅᎢ|Ù:wa:dalǔ:gâ:nv̌:ɂi.|He did plow it (He did...a while ago)
72985-1-vthirdprestone|ᎦᏓᎷᎩᏍᎪᎢ|Ga:dalǔ:gî:sgó:ɂi.|He is usually plowing it (He usually...)
72986-1-entrytone|ᎦᏓᎷᎪᏗ|Ga:dalú:gò:di.|Plow
72986-1-nounadjpluraltone|ᏗᎦᏓᎷᎪᏗ|Diga:dalú:gò:di.|Plow (plural)
72987-1-entrytone|ᎦᏕᎠ|Gadé:ɂa.|He is removing it (solid or flexible object) from a hanging position
72987-1-vfirstprestone|ᎦᏕᎠ|Gadé:ɂa.|I am removing it (solid or flexible object) from a hanging position (I am...)
72987-1-vsecondimpertone|ᎭᏓᎩ|Hadagi.|Let you be removing it (solid or flexible object) from a hanging position (Let you...)
72987-1-vthirdinftone|ᎤᏕᏍᏗ|U:dè:sdi.|For him to be removing it (solid or flexible object) from a hanging position (For him to...)
72987-1-vthirdpasttone|ᎤᏕᏒᎢ|Ù:dé:sv̌:ɂi.|He did remov it (solid or flexible object) from a hanging position (He did...a while ago)
72987-1-vthirdprestone|ᎦᏕᏍᎪᎢ|Ga:dé:sgó:ɂi.|He is usually removing it (solid or flexible object) from a hanging position (He usually...)
72988-1-entrytone|ᎦᏕᏯᏍᏗᎭ|Ga:děysdiha.|He is turning it
72988-1-vfirstprestone|ᏥᏕᏯᏍᏗᎭ|Ji:dě:yâ:sdiha.|I am turning it (I am...)
72988-1-vsecondimpertone|ᎯᏕᏯᏍᏓ|Hi:deysda.|Let you be turning it (Let you...)
72988-1-vthirdinftone|ᎤᏩᏕᏯᏍᏙᏗ|Uwa:děysdohdi.|For him to be turning it (For him to...)
